,time,price,change,volume,amount,type
0,15:00:00,4.36,--,0,0,卖盘
1,15:00:00,4.36,-0.01,55,23980,卖盘
2,14:59:58,4.37,0.01,100,43700,买盘
3,14:59:49,4.36,-0.01,48,20928,卖盘
4,14:59:43,4.37,--,1,437,买盘
5,14:59:38,4.37,--,26,11362,买盘
6,14:59:33,4.37,0.01,24,10488,买盘
7,14:59:28,4.36,-0.01,195,85020,卖盘
8,14:59:23,4.37,--,97,42389,买盘
9,14:59:18,4.37,0.01,1050,458850,买盘
10,14:59:13,4.36,-0.01,263,114668,卖盘
11,14:59:08,4.37,0.01,10,4370,买盘
12,14:59:03,4.36,--,31,13516,卖盘
13,14:58:48,4.36,-0.01,5,2180,卖盘
14,14:58:43,4.37,--,152,66642,买盘
15,14:58:38,4.37,0.01,9,3933,买盘
16,14:58:33,4.36,--,559,243724,卖盘
17,14:58:28,4.36,-0.01,12,5232,卖盘
18,14:58:18,4.37,--,23,10051,买盘
19,14:58:13,4.37,--,1,437,买盘
20,14:58:03,4.37,0.01,2500,1092500,买盘
21,14:57:58,4.36,--,93,40548,卖盘
22,14:57:53,4.36,-0.01,12,5232,卖盘
23,14:57:48,4.37,--,8,3496,买盘
24,14:57:43,4.37,--,80,34960,买盘
25,14:57:38,4.37,0.01,10,4370,买盘
26,14:57:33,4.36,-0.01,33,14388,卖盘
27,14:57:18,4.37,0.01,24,10488,买盘
28,14:57:13,4.36,--,15,6540,卖盘
29,14:56:58,4.36,--,233,101588,卖盘
30,14:56:48,4.36,--,22,9592,卖盘
31,14:56:43,4.36,--,62,27032,卖盘
32,14:56:33,4.36,--,1,436,卖盘
33,14:56:28,4.36,-0.01,40,17440,卖盘
34,14:56:18,4.37,0.01,26,11362,买盘
35,14:56:13,4.36,-0.01,12,5232,卖盘
36,14:56:08,4.37,--,199,86963,买盘
37,14:56:03,4.37,0.01,736,321632,买盘
38,14:55:58,4.36,--,40,17440,卖盘
39,14:55:53,4.36,--,47,20492,卖盘
40,14:55:48,4.36,--,5,2180,卖盘
41,14:55:43,4.36,--,19,8284,卖盘
42,14:55:33,4.36,--,26,11336,卖盘
43,14:55:18,4.36,-0.01,5,2180,卖盘
44,14:55:13,4.37,0.01,20,8740,买盘
45,14:55:07,4.36,--,8,3488,卖盘
46,14:55:03,4.36,--,14,6104,卖盘
47,14:54:58,4.36,-0.01,15,6540,卖盘
48,14:54:52,4.37,0.01,62,27094,买盘
49,14:54:48,4.36,--,5,2180,卖盘
50,14:54:37,4.36,--,43,18748,卖盘
51,14:54:28,4.36,--,23,10028,卖盘
52,14:54:17,4.36,-0.01,5,2180,卖盘
53,14:54:13,4.37,0.01,6,2622,买盘
54,14:53:52,4.36,--,12,5232,卖盘
55,14:53:47,4.36,--,9,3924,卖盘
56,14:53:43,4.36,-0.01,82,35752,卖盘
57,14:53:37,4.37,--,15,6555,买盘
58,14:53:32,4.37,0.01,23,10051,买盘
59,14:53:22,4.36,--,31,13516,卖盘
60,14:53:17,4.36,-0.01,17,7412,卖盘
61,14:52:57,4.37,0.01,11,4807,买盘
62,14:52:47,4.36,--,5,2180,卖盘
63,14:52:42,4.36,-0.01,12,5232,卖盘
64,14:52:37,4.37,0.01,8,3496,买盘
65,14:52:32,4.36,-0.01,146,63656,卖盘
66,14:52:27,4.37,0.01,19,8303,买盘
67,14:52:17,4.36,--,5,2180,卖盘
68,14:52:12,4.36,--,100,43600,卖盘
69,14:52:07,4.36,-0.01,65,28340,卖盘
70,14:52:02,4.37,--,8,3496,买盘
71,14:51:57,4.37,0.01,42,18354,买盘
72,14:51:52,4.36,-0.01,5,2180,卖盘
73,14:51:42,4.37,0.01,16,6992,买盘
74,14:51:37,4.36,-0.01,12,5232,卖盘
75,14:51:27,4.37,--,5,2185,买盘
76,14:51:22,4.37,0.01,27,11799,买盘
77,14:51:17,4.36,--,5,2180,卖盘
78,14:51:07,4.36,--,9,3924,卖盘
79,14:51:02,4.36,--,10,4360,买盘
80,14:50:57,4.36,-0.01,4,1744,卖盘
81,14:50:52,4.37,0.02,17,7429,买盘
82,14:50:47,4.35,-0.02,14,6089,卖盘
83,14:50:42,4.37,--,72,31464,买盘
84,14:50:37,4.37,--,36,15732,买盘
85,14:50:32,4.37,0.01,1,437,买盘
86,14:50:27,4.36,-0.01,12,5232,卖盘
87,14:50:22,4.37,0.01,17,7429,买盘
88,14:50:17,4.36,0.01,5,2180,卖盘
89,14:50:12,4.35,--,12,5220,卖盘
90,14:50:02,4.35,-0.01,983,427604,卖盘
91,14:49:52,4.36,--,30,13080,卖盘
92,14:49:47,4.36,-0.01,5,2180,卖盘
93,14:49:37,4.37,--,30,13110,买盘
94,14:49:27,4.37,0.01,6,2622,买盘
95,14:49:22,4.36,--,107,46652,卖盘
96,14:49:17,4.36,--,12,5232,卖盘
97,14:49:07,4.36,--,13,5668,卖盘
98,14:48:52,4.36,--,6,2616,卖盘
99,14:48:42,4.36,--,52,22672,卖盘
100,14:48:37,4.36,--,100,43600,卖盘
101,14:48:32,4.36,-0.01,72,31392,卖盘
102,14:48:27,4.37,0.01,148,64676,买盘
103,14:48:22,4.36,-0.01,5,2180,卖盘
104,14:48:17,4.37,0.01,1,437,买盘
105,14:48:07,4.36,--,162,70632,卖盘
106,14:48:01,4.36,--,12,5232,卖盘
107,14:47:57,4.36,--,30,13080,卖盘
108,14:47:52,4.36,--,67,29212,卖盘
109,14:47:31,4.36,--,12,5232,卖盘
110,14:47:27,4.36,--,54,23544,卖盘
111,14:47:22,4.36,--,5,2180,卖盘
112,14:47:16,4.36,--,3,1308,卖盘
113,14:47:01,4.36,-0.01,12,5232,卖盘
114,14:46:57,4.37,0.01,18,7866,买盘
115,14:46:52,4.36,-0.01,5,2180,卖盘
116,14:46:46,4.37,--,1,437,买盘
117,14:46:31,4.37,0.01,1,437,买盘
118,14:46:21,4.36,-0.01,46,20056,卖盘
119,14:46:07,4.37,--,54,23598,买盘
120,14:46:01,4.37,--,50,21850,买盘
121,14:45:51,4.37,0.01,3,1311,买盘
122,14:45:21,4.36,--,13,5668,卖盘
123,14:45:16,4.36,--,7,3052,卖盘
124,14:45:06,4.36,--,0,292,卖盘
125,14:45:01,4.36,-0.01,7,3052,卖盘
126,14:44:51,4.37,0.01,7,3059,买盘
127,14:44:36,4.36,--,24,10464,卖盘
128,14:44:31,4.36,-0.01,9,3924,卖盘
129,14:44:26,4.37,0.01,26,11362,买盘
130,14:44:16,4.36,-0.01,5,2180,卖盘
131,14:44:06,4.37,0.01,8,3496,买盘
132,14:44:01,4.36,--,19,8284,卖盘
133,14:43:51,4.36,-0.01,63,27468,卖盘
134,14:43:36,4.37,0.01,20,8740,买盘
135,14:43:31,4.36,--,9,3924,卖盘
136,14:43:16,4.36,-0.01,230,100280,卖盘
137,14:43:06,4.37,--,18,7866,买盘
138,14:43:01,4.37,--,10,4370,买盘
139,14:42:36,4.37,--,101,44137,买盘
140,14:42:31,4.37,--,15,6555,买盘
141,14:42:26,4.37,0.01,12,5244,买盘
142,14:42:01,4.36,-0.01,9,3924,卖盘
143,14:41:51,4.37,--,24,10488,买盘
144,14:41:46,4.37,0.01,6,2622,买盘
145,14:41:31,4.36,--,9,3924,卖盘
146,14:41:01,4.36,--,9,3924,卖盘
147,14:40:51,4.36,--,10,4360,卖盘
148,14:40:25,4.36,--,10,4360,卖盘
149,14:39:10,4.36,--,671,292939,买盘
150,14:38:50,4.36,--,60,26160,买盘
151,14:38:35,4.36,--,5,2180,买盘
152,14:38:25,4.36,--,10,4360,买盘
153,14:38:15,4.36,--,12,5232,买盘
154,14:38:10,4.36,--,30,13080,买盘
155,14:38:05,4.36,--,10,4360,买盘
156,14:38:00,4.36,0.01,12,5232,买盘
157,14:37:50,4.35,-0.01,1,434,卖盘
158,14:37:45,4.36,--,11,4796,买盘
159,14:37:10,4.36,--,53,23108,买盘
160,14:37:00,4.36,0.01,52,22672,买盘
161,14:36:25,4.35,-0.01,1,434,卖盘
162,14:36:15,4.36,--,300,130800,买盘
163,14:36:05,4.36,0.01,300,130800,买盘
164,14:35:40,4.35,-0.01,2,869,卖盘
165,14:35:35,4.36,--,200,87200,买盘
166,14:35:30,4.36,--,4,1744,买盘
167,14:35:10,4.36,--,5,2180,买盘
168,14:34:45,4.36,--,50,21800,买盘
169,14:34:40,4.36,--,16,6976,买盘
170,14:34:30,4.36,0.01,53,23108,买盘
171,14:34:25,4.35,-0.01,50,21750,卖盘
172,14:34:15,4.36,--,23,10028,买盘
173,14:34:10,4.36,--,8,3488,买盘
174,14:33:55,4.36,--,25,10900,买盘
175,14:33:49,4.36,--,32,13952,买盘
176,14:33:34,4.36,--,13,5668,买盘
